gameid,league,blueteam,redteam,bluetop,bluejungle,bluemid,blueadc,bluesupport,redtop,redjungle,redmid,redadc,redsupport,result
ESPORTSTMNT05/1530391,LCL,Dragon Army,Vega Squadron,Ornn,Trundle,Orianna,Jhin,Karma,Sylas,Sett,Azir,Ashe,Braum,0
5998-7413,LPL,Top Esports,JD Gaming,Aatrox,Trundle,Viktor,Aphelios,Nautilus,Sett,Olaf,Taliyah,Ezreal,Yuumi,1
ESPORTSTMNT02/1332381,LCK,Gen.G,T1,Ornn,LeeSin,Azir,Senna,TahmKench,Sylas,Olaf,Akali,Kalista,Taric,0
ESPORTSTMNT01/1294784,LCK,Hanwha Life Esports,Afreeca Freecs,Mordekaiser,LeeSin,Rumble,MissFortune,Thresh,Aatrox,Elise,Pantheon,Aphelios,Nautilus,0
ESPORTSTMNT01/1296022,CK,Asura,Team Dynamics,Mordekaiser,Olaf,Qiyana,Aphelios,Leona,Fiora,RekSai,Zoe,MissFortune,Nautilus,1
6393-8293,LDL,Dominus Esports Young,LinGan e-Sports,Gnar,Graves,Karma,Ashe,Braum,Volibear,LeeSin,Syndra,Kalista,Sett,1
ESPORTSTMNT05/1430160,LEC,Fnatic,Team Vitality,JarvanIV,Evelynn,Graves,Jhin,Shen,Sion,Gragas,Viktor,Varus,Thresh,0
6296-7950,LDL,LinGan e-Sports,eStar Young,Renekton,RekSai,Leblanc,Ezreal,Thresh,Poppy,Graves,Lissandra,Ashe,Nautilus,0
ESPORTSTMNT02/1283735,CK,Seorabeol Gaming,Element Mystic,Aatrox,Olaf,Zoe,Senna,TahmKench,Renekton,LeeSin,Lux,MissFortune,Bard,1
ESPORTSTMNT03/1333755,CK,hyFresh Blade,OZ Gaming,Ornn,Karthus,Jayce,Varus,TahmKench,Sett,Olaf,Azir,Ezreal,Senna,1
ESPORTSTMNT06/1310234,EM,Riddle Esports,eSuba,Camille,Nidalee,Sett,Lucian,Blitzcrank,Gangplank,Olaf,Syndra,Sona,Lux,1
ESPORTSTMNT05/1510125,LEC,Fnatic,MAD Lions,Mordekaiser,Graves,TwistedFate,Soraka,Nautilus,Renekton,LeeSin,Orianna,Senna,MonkeyKing,0
6261-8232,LPL,FunPlus Phoenix,Royal Never Give Up,Fiora,Graves,Rumble,Ashe,TahmKench,Volibear,LeeSin,Corki,Kaisa,Karma,1
6435-8434,LDL,Invictus Gaming Young,LinGan e-Sports,Volibear,Ekko,Renekton,Ashe,Karma,MonkeyKing,LeeSin,Leblanc,Aphelios,Taric,1
ESPORTSTMNT06/1320697,LEC,FC Schalke 04 Esports,MAD Lions,Kennen,LeeSin,Orianna,Ashe,TahmKench,Camille,Lillia,Akali,Senna,Nautilus,0
ESPORTSTMNT03/1324357,CBLOL,Vivo Keyd,Flamengo Esports,Poppy,Pantheon,Leblanc,Aphelios,Thresh,Kayle,JarvanIV,Lucian,Varus,Braum,1
ESPORTSTMNT02/1404119,LCS,Counter Logic Gaming,FlyQuest,Kennen,Sett,Syndra,Ezreal,Bard,Mordekaiser,Trundle,Orianna,Ashe,Pyke,0
ESPORTSTMNT01/1313804,OPL,Avant Gaming,Chiefs Esports Club,Renekton,JarvanIV,Rumble,Aphelios,Braum,Ornn,LeeSin,Sylas,MissFortune,Nautilus,1
ESPORTSTMNT03/1331601,LCS,Evil Geniuses,Golden Guardians,Sett,LeeSin,Syndra,Senna,Rumble,Mordekaiser,Sejuani,Orianna,Aphelios,TahmKench,1
ESPORTSTMNT01/1422843,BRCC,Falkol,RED Canids,Renekton,Elise,Lissandra,Ashe,Bard,Kennen,LeeSin,Leblanc,Jhin,Leona,0
6363-8187,LDL,Legend Esport Gaming,LinGan e-Sports,Yasuo,Nidalee,Renekton,Aphelios,Taric,Ornn,LeeSin,Zoe,Ezreal,Bard,0
6598-8313,LPL,Dominus Esports,Rogue Warriors,Volibear,LeeSin,Cassiopeia,Ashe,Leona,MonkeyKing,Graves,Karma,Xayah,Thresh,0
ESPORTSTMNT01/1304054,LJL,Burning Core,DetonatioN FocusMe,Gangplank,Elise,Syndra,MissFortune,Bard,Aatrox,JarvanIV,Karma,Aphelios,Blitzcrank,0
ESPORTSTMNT05/1520238,LCL,Vega Squadron,Elements Pro Gaming,Sett,JarvanIV,Viktor,Aphelios,Lulu,Jayce,Olaf,TwistedFate,Ezreal,Yuumi,0
ESPORTSTMNT01/1321081,VCS,EVOS Esports,V Gaming Adonis,Mordekaiser,RekSai,Syndra,Aphelios,Nautilus,Gangplank,Elise,Sylas,Kalista,Thresh,1
ESPORTSTMNT02/1323489,PCS,Liyab Esports,Resurgence,Mordekaiser,JarvanIV,Sylas,Aphelios,TahmKench,MonkeyKing,RekSai,Cassiopeia,Varus,Thresh,0
6353-8154,LDL,Royal Club,eStar Young,Volibear,Kindred,Zoe,Aphelios,Sett,Poppy,Ekko,Renekton,Ezreal,Nautilus,0
ESPORTSTMNT02/1333784,PCS,Hong Kong Attitude,J Team,Maokai,Trundle,Corki,MissFortune,Nautilus,MonkeyKing,Gragas,Leblanc,Varus,Taric,0
ESPORTSTMNT02/1393880,CK,Griffin,Jin Air Green Wings,Ornn,Trundle,Kalista,MissFortune,Rakan,MonkeyKing,Graves,Mordekaiser,Aphelios,Braum,0
ESPORTSTMNT03/1404520,VCS,Saigon Buffalo,CERBERUS Esports,Mordekaiser,Graves,TwistedFate,Ashe,Lulu,Volibear,Trundle,Ryze,Aphelios,Braum,1
ESPORTSTMNT02/1405386,BRCC,Team oNe eSports,RED Canids,Gangplank,LeeSin,Viktor,Caitlyn,Morgana,Vladimir,Volibear,KogMaw,Jhin,Thresh,0
ESPORTSTMNT03/1442192,LCK,Team Dynamics,Hanwha Life Esports,Kennen,Volibear,Azir,Senna,Sett,Camille,Olaf,Sylas,Ashe,Lulu,0
ESPORTSTMNT01/1316035,CK,OZ Gaming,Spear Gaming,Mordekaiser,Olaf,Nautilus,Kalista,Taric,Renekton,Gragas,Azir,Ashe,TahmKench,1
6131-7806,LPL,Top Esports,JD Gaming,Aatrox,Sejuani,Sylas,Aphelios,Braum,Ornn,RekSai,Kassadin,MissFortune,Bard,0
ESPORTSTMNT03/1333873,VCS,Team Secret,FTV Esports,Vladimir,LeeSin,Tristana,Ezreal,Braum,Ornn,Pantheon,Cassiopeia,Taliyah,Alistar,1
ESPORTSTMNT02/1414921,VCS,CERBERUS Esports,Saigon Buffalo,Volibear,Trundle,Orianna,Caitlyn,Morgana,Ornn,LeeSin,TwistedFate,Ashe,Karma,1
ESPORTSTMNT06/1180387,TRA,İstanbul Wildcats Academy,Beşiktaş Academy,Sett,RekSai,Azir,Ezreal,Yuumi,Renekton,JarvanIV,Sylas,Yasuo,Rakan,0
6609-8397,LPL,Suning,Royal Never Give Up,Jayce,LeeSin,Syndra,Aphelios,Bard,Kennen,Olaf,TwistedFate,Ashe,Nautilus,0
5982-7376,LPL,Suning,FunPlus Phoenix,Sett,Gragas,Galio,Draven,Leona,Renekton,Sejuani,Corki,MissFortune,Nautilus,0
6222-7932,LPL,LGD Gaming,Dominus Esports,Ornn,LeeSin,Kassadin,Ezreal,Yuumi,Camille,Graves,Galio,Ashe,Nautilus,1
ESPORTSTMNT06/1180418,EM,Racoon,eSuba,Sett,Ekko,Pantheon,Kaisa,Nautilus,Aatrox,LeeSin,Cassiopeia,Senna,TahmKench,0
ESPORTSTMNT01/1434288,LCS.A,FlyQuest Academy,Golden Guardians Academy,MonkeyKing,Volibear,Zoe,Jhin,Pantheon,Maokai,Graves,Syndra,Ashe,Thresh,0
ESPORTSTMNT06/1180352,EM,Electronik Generation,Intrepid Fox Gaming,Ornn,RekSai,Syndra,Varus,Thresh,Sett,Gragas,Orianna,Aphelios,Braum,1
6469-8564,LDL,WanZhen Esports Club,LGD Gaming Young Team,Renekton,Nidalee,Pantheon,Kaisa,Leona,Gnar,Graves,Rumble,Ashe,Nautilus,1
ESPORTSTMNT03/1405623,CK,Awesome Spear,ESC Shane,Ornn,Volibear,Zoe,Ezreal,TahmKench,Jayce,Olaf,KogMaw,Aphelios,Thresh,1
ESPORTSTMNT04/1140194,TCL,Dark Passage,Beşiktaş Esports,Sylas,Ekko,Sett,Senna,TahmKench,Neeko,Sejuani,Riven,Varus,Karma,0
ESPORTSTMNT03/1412078,LLA,Furious Gaming,Rainbow7,Ornn,Gragas,Zoe,Aphelios,Karma,Camille,Pantheon,Leblanc,Ashe,Thresh,1
ESPORTSTMNT01/1315099,CK,Jin Air Green Wings,Seorabeol Gaming,Renekton,JarvanIV,Galio,Aphelios,Nautilus,Aatrox,Kindred,Zoe,Senna,TahmKench,1
ESPORTSTMNT01/1404256,LCS,Dignitas,Team SoloMid,Sett,Nidalee,Orianna,Ezreal,Lulu,Aatrox,Trundle,Corki,MissFortune,Yuumi,0
ESPORTSTMNT01/1325582,LJL,DetonatioN FocusMe,Sengoku Gaming,Renekton,Pantheon,Ekko,Aphelios,Thresh,Aatrox,JarvanIV,Syndra,Varus,Nautilus,1
ESPORTSTMNT02/1381824,LCS.A,TSM Academy,FlyQuest Academy,Aatrox,Kindred,Cassiopeia,Varus,TahmKench,MonkeyKing,Trundle,Azir,Aphelios,Bard,1
ESPORTSTMNT02/1383936,LCK,DRX,SANDBOX Gaming,Aatrox,Nidalee,Azir,Varus,Zilean,Jayce,Trundle,Corki,Maokai,Senna,1
6257-8201,LPL,Vici Gaming,eStar,Gnar,RekSai,Akali,Kalista,Taric,Volibear,Trundle,Zoe,Ashe,TahmKench,1
ESPORTSTMNT03/1353588,LCK,SANDBOX Gaming,Seorabeol Gaming,Renekton,Elise,Corki,Kalista,Trundle,Aatrox,Graves,Leblanc,MissFortune,Nautilus,1
ESPORTSTMNT02/1332652,LCK,KT Rolster,DRX,Ornn,JarvanIV,Rumble,Cassiopeia,Nautilus,Aatrox,Olaf,Kassadin,Kalista,Thresh,0
ESPORTSTMNT01/1435642,BRCC,Falkol,Rensga eSports,Ornn,Volibear,Azir,Jhin,Bard,Camille,Olaf,Leblanc,Senna,Rakan,0
5656-7254,LPL,LGD Gaming,LNG Esports,Aatrox,RekSai,Leblanc,Aphelios,Leona,Mordekaiser,JarvanIV,Ryze,MissFortune,Braum,0
ESPORTSTMNT02/1405444,VCS,Percent Esports,OverPower Esports,Renekton,Nidalee,Lucian,Ezreal,Leona,Volibear,Graves,Leblanc,Jhin,Sett,0
ESPORTSTMNT03/1403547,LCK,T1,SeolHaeOne Prince,MonkeyKing,Nidalee,Azir,Ezreal,Nautilus,Illaoi,Graves,Ekko,Ashe,Zyra,1
6266-7845,LDL,Legend Esport Gaming,All Combo,MonkeyKing,Ekko,Sett,Caitlyn,Morgana,Hecarim,Nidalee,Pantheon,Varus,Karma,1
ESPORTSTMNT03/1334408,LJL,Rascal Jester,V3 Esports,Mordekaiser,Trundle,Azir,Aphelios,Pyke,Sett,Gragas,Syndra,Senna,TahmKench,0
ESPORTSTMNT02/1334608,LFL,LDLC OL,GamersOrigin,Renekton,Sejuani,Ekko,Aphelios,Thresh,Gnar,Gragas,Lucian,Syndra,Sett,0
ESPORTSTMNT06/1320225,EM,Racoon,Iron Wolves,Urgot,LeeSin,Akali,Taliyah,Nautilus,Malphite,Nocturne,TwistedFate,Senna,Leona,1
6718-9002,LDL,Invictus Gaming Young,Shu Dai Xiong Gaming,Ornn,Graves,Zoe,Ezreal,Lux,Camille,Trundle,Fizz,Aphelios,Nautilus,1
ESPORTSTMNT03/1401392,LCS.A,Evil Geniuses Academy,FlyQuest Academy,Rumble,JarvanIV,Irelia,Kalista,Nautilus,Aatrox,RekSai,Orianna,Aphelios,Thresh,1
ESPORTSTMNT06/1310244,EM,Five Kings,Intrepid Fox Gaming,Poppy,Trundle,Orianna,Senna,Galio,Renekton,Sylas,Corki,Lucian,Thresh,1
6556-8849,LDL,Royal Club,Team WE Academy,Renekton,Trundle,Cassiopeia,Ashe,TahmKench,Gangplank,Volibear,Rumble,Caitlyn,Lux,0
6075-7569,LPL,EDward Gaming,FunPlus Phoenix,Kennen,Trundle,Syndra,MissFortune,Nautilus,Aatrox,LeeSin,Sylas,Aphelios,Braum,1
5664-7277,LPL,LNG Esports,Top Esports,Sett,RekSai,Rumble,Aphelios,Thresh,Vladimir,Gragas,Lucian,MissFortune,Nautilus,0
ESPORTSTMNT02/1271495,VCS,Saigon Buffalo,V Gaming Adonis,Camille,Elise,Zoe,Aphelios,Leona,Aatrox,RekSai,Cassiopeia,MissFortune,Braum,1
6097-7681,LPL,Invictus Gaming,LNG Esports,Kalista,LeeSin,Syndra,Varus,Thresh,Ornn,XinZhao,Zoe,Aphelios,Braum,1
ESPORTSTMNT02/1287203,LCK,SeolHaeOne Prince,Gen.G,Sett,Nidalee,Jayce,Morgana,Pyke,Akali,JarvanIV,Azir,Senna,TahmKench,0
ESPORTSTMNT03/1443542,LCS,Team Liquid,Team SoloMid,Ornn,Hecarim,TwistedFate,Ashe,Thresh,Sett,Olaf,Azir,Senna,TahmKench,1
ESPORTSTMNT06/1180430,TRA,Royal Youth Academy,Dark Passage Academy,Tryndamere,Elise,Qiyana,Aphelios,Thresh,Ekko,Gangplank,JarvanIV,Cassiopeia,Blitzcrank,0
ESPORTSTMNT02/1323007,OPL,Pentanet.GG,ORDER,Aatrox,MonkeyKing,Karma,KogMaw,Lulu,Renekton,Sejuani,Azir,Senna,TahmKench,0
6320-8022,LDL,JingNetGame,V5 87,Poppy,Graves,Syndra,Kalista,Thresh,Jayce,Trundle,Leblanc,Kaisa,Sett,1
6504-8689,LDL,Joy Dream,Invictus Gaming Young,Ornn,Trundle,Leblanc,Ashe,Bard,Camille,Graves,Galio,Aphelios,Thresh,0
ESPORTSTMNT01/1313986,PCS,Alpha Esports,Talon Esports,Aatrox,LeeSin,Leblanc,Jinx,TahmKench,Gangplank,Gragas,Lissandra,MissFortune,Sett,1
ESPORTSTMNT01/1425076,PCS,Resurgence,PSG Talon,Sylas,Graves,Azir,Senna,Nautilus,Ornn,Trundle,Zoe,Aphelios,Thresh,0
6090-7641,LPL,JD Gaming,Dominus Esports,Maokai,RekSai,Sylas,Aphelios,Leona,MonkeyKing,JarvanIV,Corki,MissFortune,Rakan,1
6564-8875,LDL,Team WE Academy,FunPlus Phoenix Blaze,Jax,Karthus,Sett,Jhin,Lux,Renekton,Graves,Orianna,Ashe,Karma,1
ESPORTSTMNT02/1321192,OPL,Chiefs Esports Club,MAMMOTH,Sett,JarvanIV,Orianna,MissFortune,Thresh,Ornn,Ekko,Irelia,Aphelios,Nautilus,1
ESPORTSTMNT03/1411500,LCS,100 Thieves,Golden Guardians,Renekton,Volibear,Cassiopeia,Aphelios,Thresh,Kennen,Graves,Galio,Ashe,TahmKench,0
ESPORTSTMNT02/1414630,BRCC,Rensga eSports,Team oNe eSports,Kennen,MasterYi,Taric,Caitlyn,Bard,Camille,Sejuani,Orianna,Sona,Lux,0
ESPORTSTMNT01/1434800,LCK,Hanwha Life Esports,T1,Mordekaiser,Olaf,Sylas,Ezreal,Bard,Camille,Karthus,Sett,MissFortune,Nautilus,0
ESPORTSTMNT03/1440886,LCS.A,Evil Geniuses Academy,100 Thieves Academy,Renekton,LeeSin,Akali,Caitlyn,Morgana,Shen,Graves,Leblanc,Ashe,Karma,1
ESPORTSTMNT01/1425772,LCK,DAMWON Gaming,DRX,Kennen,Sett,Zoe,Aphelios,Thresh,Jayce,Trundle,Camille,Heimerdinger,Senna,1
ESPORTSTMNT02/1412057,CK,OZ Gaming,Jin Air Green Wings,Ornn,Olaf,Orianna,Caitlyn,Braum,Sett,LeeSin,Syndra,Aphelios,Thresh,0
ESPORTSTMNT01/1435249,PCS,Machi Esports,Hong Kong Attitude,Kennen,LeeSin,Orianna,Aphelios,Bard,Sylas,Sett,Leblanc,Ashe,Thresh,1
ESPORTSTMNT02/1413410,LCS.A,Cloud9 Academy,CLG Academy,Irelia,Volibear,Zoe,Kalista,Thresh,Vladimir,Sett,Orianna,Draven,Blitzcrank,1
6050-7682,LPL,Rogue Warriors,LGD Gaming,Renekton,Trundle,Zoe,Varus,Thresh,Ornn,RekSai,Syndra,MissFortune,Leona,1
ESPORTSTMNT01/1314233,PCS,ahq eSports Club,Berjaya Dragons,Gangplank,Sejuani,Zoe,MissFortune,Nautilus,Mordekaiser,RekSai,Syndra,Caitlyn,Morgana,1
ESPORTSTMNT02/1283670,CK,Spear Gaming,OZ Gaming,Vladimir,RekSai,Syndra,MissFortune,Alistar,Gangplank,JarvanIV,Malzahar,Kalista,Morgana,1
ESPORTSTMNT05/1430102,LEC,G2 Esports,FC Schalke 04 Esports,Kalista,RekSai,Akali,Senna,Galio,Jayce,LeeSin,Azir,Ziggs,Nautilus,1
ESPORTSTMNT03/1351023,PCS,Talon Esports,ahq eSports Club,Maokai,RekSai,Leblanc,Kalista,Bard,Ornn,LeeSin,Lissandra,MissFortune,Nautilus,0
ESPORTSTMNT06/1160553,LEC,Team Vitality,Rogue,Renekton,LeeSin,Syndra,Xayah,Rakan,Sett,Gragas,Azir,Kalista,Nautilus,0
ESPORTSTMNT03/1404383,LCK,DRX,DAMWON Gaming,Karma,RekSai,TwistedFate,Senna,Braum,Sett,LeeSin,Sylas,Kalista,Bard,1
ESPORTSTMNT05/1410772,LEC,Rogue,Fnatic,Kled,LeeSin,Syndra,Xayah,Leona,Zac,RekSai,Ornn,Ezreal,Rakan,0
ESPORTSTMNT02/1413797,OPL,ORDER,Dire Wolves,Sion,LeeSin,Zoe,Jhin,Leona,Kayle,Olaf,Orianna,Caitlyn,Bard,0
ESPORTSTMNT06/1270318,LEC,Rogue,SK Gaming,Gangplank,Sett,Orianna,Varus,Nautilus,Malphite,Volibear,Leblanc,Aphelios,Leona,1
ESPORTSTMNT02/1401713,CBLOL,INTZ,paiN Gaming,Urgot,Sett,TwistedFate,Ashe,Bard,MonkeyKing,Olaf,Zoe,Kalista,Thresh,0
ESPORTSTMNT03/1442961,LCS,Team Liquid,FlyQuest,Shen,Hecarim,Akali,Ashe,Blitzcrank,Ornn,Sett,Azir,Caitlyn,Thresh,0
ESPORTSTMNT03/1341978,OPL,Dire Wolves,ORDER,Malphite,Olaf,Cassiopeia,Aphelios,Braum,Maokai,Trundle,Corki,Senna,TahmKench,1
ESPORTSTMNT06/1180456,LCL,Elements Pro Gaming,Gambit Esports,Ornn,Graves,Neeko,Aphelios,Nautilus,Mordekaiser,Trundle,Kassadin,Varus,Thresh,1
ESPORTSTMNT03/1441062,LJL,Burning Core,DetonatioN FocusMe,Mordekaiser,Graves,Cassiopeia,Caitlyn,Morgana,Volibear,Nidalee,KogMaw,Ashe,TahmKench,1
ESPORTSTMNT03/1392180,OCS,UQ Union,Gravitas Academy,Vladimir,Elise,Ekko,Aphelios,Nautilus,Gangplank,Gragas,Irelia,MissFortune,Braum,0
6546-8824,LDL,V5 87,Joy Dream,Sylas,Graves,Karma,Ezreal,Braum,Mordekaiser,Sett,Orianna,Ashe,Thresh,0
6635-8592,LPL,FunPlus Phoenix,LGD Gaming,Mordekaiser,LeeSin,TwistedFate,Kalista,Nautilus,Renekton,Trundle,Syndra,Ashe,Bard,1
ESPORTSTMNT06/1210135,EM,LDLC OL,Vodafone Giants.Spain,Mordekaiser,Graves,Zoe,Varus,Bard,Ornn,JarvanIV,Kassadin,MissFortune,Nautilus,1
ESPORTSTMNT02/1392457,CK,Awesome Spear,RunAway,Aatrox,Trundle,Galio,Ezreal,Karma,Mordekaiser,Nidalee,Jayce,Aphelios,Nautilus,0
ESPORTSTMNT05/1410157,TCL,5 Ronin,Galakticos,Soraka,LeeSin,Leblanc,Senna,Braum,Irelia,Elise,Qiyana,Varus,Nautilus,0
ESPORTSTMNT04/1250460,LEC,Rogue,G2 Esports,Sion,Sett,Azir,Aphelios,Nautilus,Mordekaiser,Khazix,Syndra,Senna,Bard,0
6611-8413,LPL,LGD Gaming,EDward Gaming,Volibear,Graves,Sylas,Senna,Alistar,Kennen,Olaf,Leblanc,Kalista,Sett,1
6304-7975,LDL,LNG Academy,Top Esports Challenger,Ornn,Olaf,Malzahar,Ezreal,Yuumi,Mordekaiser,Trundle,Cassiopeia,Aphelios,Thresh,0
ESPORTSTMNT02/1292331,LFL,Solary,Misfits Premier,Singed,JarvanIV,Cassiopeia,Xayah,Rakan,Irelia,Sejuani,Velkoz,MissFortune,Nautilus,0
ESPORTSTMNT06/1180792,TRA,İstanbul Wildcats Academy,Team AURORA Academy,Irelia,Sejuani,Diana,Senna,TahmKench,Mordekaiser,Trundle,Lissandra,Varus,Zilean,1
6253-8167,LPL,Suning,LGD Gaming,Renekton,LeeSin,Syndra,Aphelios,Nautilus,Gangplank,Volibear,Galio,Ezreal,Yuumi,1
ESPORTSTMNT03/1405964,VCS,Percent Esports,OverPower Esports,MonkeyKing,Graves,Karma,Senna,TahmKench,Renekton,Nidalee,Azir,Kalista,Nautilus,1
ESPORTSTMNT04/1220209,TCL,Galatasaray Esports,5 Ronin,Ornn,Trundle,Leblanc,Aphelios,Nautilus,Mordekaiser,Kindred,Karma,Ezreal,Braum,1
ESPORTSTMNT02/1383971,OCS,QUT Tigers,UTS Esports,Volibear,Graves,TwistedFate,Syndra,Thresh,Maokai,Trundle,Veigar,Kalista,Nautilus,0
6432-8429,LDL,Suning-S,Oh My Dream,Jayce,LeeSin,Zoe,Ezreal,Braum,MonkeyKing,Ekko,Lucian,Kaisa,Sett,1
ESPORTSTMNT06/1310334,EM,Team GamerLegion,G2 Arctic,Renekton,Nidalee,Velkoz,Jinx,Thresh,Gangplank,LeeSin,Orianna,Caitlyn,Morgana,0
ESPORTSTMNT03/1350952,LLA,Furious Gaming,Isurus,Sylas,JarvanIV,Azir,Aphelios,Blitzcrank,Ornn,LeeSin,Syndra,MissFortune,Thresh,0
ESPORTSTMNT03/1412507,BRCC,RED Canids,Havan Liberty Gaming,Renekton,Volibear,Syndra,Tristana,Sett,Gnar,Nidalee,Leblanc,Ashe,Bard,1
6461-8531,LDL,WanZhen Esports Club,FunPlus Phoenix Blaze,Aatrox,Graves,Orianna,Senna,Nautilus,Volibear,Kindred,Syndra,Ashe,Taric,0
ESPORTSTMNT04/1130306,TRA,Beşiktaş Academy,Galakticos Academy,Renekton,JarvanIV,Irelia,Cassiopeia,Thresh,Aatrox,Gragas,Syndra,MissFortune,Leona,1
ESPORTSTMNT02/1293098,CK,Team Dynamics,Jin Air Green Wings,Sett,Trundle,Syndra,Xayah,Rakan,Ornn,LeeSin,Fizz,MissFortune,Taric,1
6200-7808,LPL,EDward Gaming,Team WE,Aatrox,Nidalee,Rumble,Kalista,Sett,Renekton,LeeSin,AurelionSol,Aphelios,Leona,0
ESPORTSTMNT03/1323942,LCS.A,100 Thieves Academy,Immortals Academy,Aatrox,Pantheon,Leblanc,MissFortune,Braum,Urgot,RekSai,Morgana,Cassiopeia,TahmKench,1
ESPORTSTMNT02/1385405,LCS,Evil Geniuses,Dignitas,Jayce,Trundle,Corki,Ezreal,Yuumi,Volibear,LeeSin,Orianna,Kaisa,Bard,1
6528-8771,LDL,Oh My Dream,LNG Academy,Irelia,LeeSin,Akali,Caitlyn,Morgana,Jayce,Volibear,TwistedFate,Jinx,Lux,1
ESPORTSTMNT01/1415443,LJL,Fukuoka SoftBank Hawks gaming,Crest Gaming Act,Ornn,JarvanIV,Zoe,Ezreal,TahmKench,Renekton,Olaf,Leblanc,Ashe,Bard,0
ESPORTSTMNT02/1333375,LCK,SeolHaeOne Prince,KT Rolster,Ornn,JarvanIV,Syndra,MissFortune,Yuumi,Sylas,Olaf,Leblanc,Ezreal,Nautilus,1
ESPORTSTMNT02/1294968,LCS.A,TSM Academy,Evil Geniuses Academy,Ornn,Sejuani,Zoe,Sivir,Braum,Sett,Trundle,Viktor,MissFortune,Thresh,0
ESPORTSTMNT05/1530408,LEC,Rogue,MAD Lions,Gangplank,Trundle,Azir,Aphelios,Braum,Chogath,Volibear,KogMaw,Xayah,Rakan,1
ESPORTSTMNT03/1401785,PCS,Berjaya Dragons,Alpha Esports,Aatrox,Graves,Karma,Ezreal,Braum,Ornn,Elise,Jayce,Kaisa,Thresh,1
ESPORTSTMNT05/1430445,LCL,Dragon Army,Unicorns Of Love.CIS,Maokai,JarvanIV,Renekton,Syndra,Braum,Irelia,LeeSin,Ekko,MissFortune,Nautilus,0
ESPORTSTMNT02/1395091,VCS,Saigon Buffalo,Team Flash,Aatrox,LeeSin,Neeko,Varus,Nautilus,Ornn,Nidalee,Orianna,Kalista,Pantheon,0
ESPORTSTMNT06/1170218,LCL,Gambit Esports,Unicorns Of Love.CIS,Sett,Sejuani,Yasuo,Ziggs,Nautilus,Ornn,LeeSin,Vayne,Aphelios,Rakan,0
6272-7862,LDL,Legend Esport Gaming,V5 87,Renekton,Nidalee,Yasuo,Caitlyn,Morgana,Aatrox,Ekko,Pantheon,Ashe,TahmKench,1
ESPORTSTMNT03/1442829,PCS,J Team,Machi Esports,Renekton,Kindred,Orianna,Caitlyn,Morgana,Ornn,Graves,Kassadin,Ashe,Karma,0
ESPORTSTMNT05/1540404,LEC,FC Schalke 04 Esports,Team Vitality,Shen,Khazix,Zoe,Ezreal,Yuumi,Sett,Volibear,Syndra,Aphelios,Bard,1
ESPORTSTMNT02/1405148,CK,Jin Air Green Wings,Element Mystic,Renekton,Volibear,Rumble,Ashe,Pantheon,Gnar,Lillia,Lucian,Caitlyn,Thresh,1
ESPORTSTMNT04/1240125,TRA,Royal Youth Academy,Dark Passage Academy,Gnar,Nidalee,Karma,Aphelios,TahmKench,Renekton,Trundle,Zoe,Ashe,Thresh,0
ESPORTSTMNT02/1284490,LLA,All Knights,Infinity Esports,Aatrox,Ekko,Syndra,MissFortune,Leona,Ornn,Gragas,Rumble,Kalista,Alistar,0
ESPORTSTMNT02/1323085,OPL,Pentanet.GG,Legacy Esports,Karma,Gragas,Yasuo,Xayah,Rakan,Lulu,Ekko,Gangplank,MissFortune,Thresh,0
ESPORTSTMNT05/1520124,LEC,Excel Esports,Origen,Gragas,LeeSin,Azir,Kalista,Taric,Ornn,Trundle,Orianna,Aphelios,TahmKench,0
5954-7310,LPL,Royal Never Give Up,Top Esports,Sett,RekSai,Zoe,Kaisa,Braum,Ornn,Sejuani,Diana,Aphelios,Yuumi,1
ESPORTSTMNT01/1303626,VCS,V Gaming Adonis,CERBERUS Esports,Mordekaiser,Elise,Lucian,MissFortune,Leona,Renekton,Gragas,Cassiopeia,Xayah,Braum,1
ESPORTSTMNT02/1405500,LFL,Misfits Premier,GamersOrigin,Sion,Khazix,Syndra,Kaisa,Rakan,Gangplank,Sett,Orianna,Ezreal,Leona,1
6057-7501,LPL,Vici Gaming,Oh My God,MonkeyKing,Sejuani,Sylas,Varus,TahmKench,Maokai,LeeSin,Leblanc,MissFortune,Bard,1
ESPORTSTMNT03/1441725,LCS,FlyQuest,Cloud9,Shen,Graves,Azir,Senna,Nautilus,Gangplank,Gragas,Zoe,Ezreal,Yuumi,1
ESPORTSTMNT01/1325773,LJL,V3 Esports,Crest Gaming Act,Ornn,Nidalee,Jayce,Kaisa,Sett,Renekton,Trundle,Azir,Kalista,Braum,0
6148-7695,LDL,FunPlus Phoenix Blaze,Invictus Gaming Young,Gnar,Kindred,Rumble,Senna,Nautilus,Renekton,RekSai,Leblanc,Aphelios,Morgana,1
ESPORTSTMNT03/1352775,BRCC,Falkol,RED Canids,Aatrox,Trundle,Cassiopeia,Aphelios,Thresh,Pantheon,JarvanIV,Orianna,Tristana,Taric,0
5976-7361,LPL,Team WE,FunPlus Phoenix,Aatrox,Ekko,Pantheon,Ezreal,Leona,Poppy,LeeSin,Azir,MissFortune,Nautilus,0
