gameid,league,blueteam,redteam,bluetop,bluejungle,bluemid,blueadc,bluesupport,redtop,redjungle,redmid,redadc,redsupport,result
ESPORTSTMNT02/1396105,LCK,Team Dynamics,SANDBOX Gaming,Jayce,Olaf,Azir,Varus,Blitzcrank,Irelia,Volibear,Syndra,Senna,TahmKench,0
6076-7572,LPL,Invictus Gaming,Bilibili Gaming,Lucian,Elise,Orianna,Varus,Leona,Mordekaiser,Olaf,Leblanc,Kaisa,Nautilus,1
ESPORTSTMNT02/1403233,LCK,SeolHaeOne Prince,T1,Illaoi,Olaf,Leblanc,Caitlyn,Bard,Vladimir,Volibear,Sylas,Ezreal,Sett,0
ESPORTSTMNT03/1432128,LCS,Evil Geniuses,Cloud9,Rumble,LeeSin,Lucian,Senna,Nautilus,Ornn,Graves,TwistedFate,Kalista,Rakan,0
ESPORTSTMNT06/1170171,TCL,Dark Passage,Royal Youth,Sett,Ekko,Syndra,Aphelios,Volibear,Aatrox,Elise,Sylas,MissFortune,Yuumi,1
ESPORTSTMNT05/1430120,LEC,Fnatic,MAD Lions,Sett,Olaf,Syndra,Xayah,Rakan,Aatrox,Gragas,Zoe,MissFortune,Thresh,1
ESPORTSTMNT04/1240177,TRA,Royal Youth Academy,Team AURORA Academy,Renekton,Nidalee,Zoe,Ezreal,Zilean,Sett,Volibear,Orianna,Ashe,Braum,1
ESPORTSTMNT02/1281281,LCS,Cloud9,Team SoloMid,Sett,Elise,Qiyana,Varus,TahmKench,Akali,Gragas,Renekton,MissFortune,Nautilus,1
ESPORTSTMNT03/1342234,PCS,Machi Esports,Talon Esports,Aatrox,JarvanIV,Azir,MissFortune,Morgana,Ornn,Sett,Leblanc,Xayah,Rakan,1
6350-8136,LDL,JingNetGame,LinGan e-Sports,Poppy,Gragas,Irelia,Aphelios,Thresh,Renekton,LeeSin,Galio,Ashe,Taric,1
5955-7312,LPL,LGD Gaming,Dominus Esports,Mordekaiser,Elise,Qiyana,Varus,Thresh,Aatrox,LeeSin,Lissandra,MissFortune,Nautilus,0
ESPORTSTMNT03/1340969,CBLOL,INTZ,Redemption eSports Porto Alegre,Aatrox,Trundle,Zoe,Senna,TahmKench,Ornn,Graves,Kassadin,Velkoz,Thresh,1
ESPORTSTMNT03/1321435,CBLOL,Flamengo Esports,paiN Gaming,Sett,Elise,Ekko,Kalista,Volibear,Gnar,JarvanIV,Syndra,Ezreal,Braum,1
ESPORTSTMNT04/1140119,TCL,5 Ronin,Dark Passage,Aatrox,JarvanIV,Cassiopeia,MissFortune,Braum,Irelia,Karthus,Pantheon,Ezreal,Rakan,0
6520-8735,LDL,optical spectrum E-sports,Oh My Dream,Kled,Graves,Ekko,Ashe,Karma,MonkeyKing,Nidalee,Yasuo,Caitlyn,Lux,0
